,,,,,,,,,,,,,,,,,
,XIX. NN ULTRABALATON 2025 - KALKULÁTOR,,,,,,,,,,,,,,,,
,zöld mező: felhasználó tölti ki,,,,,,,,,,,,,,,,
,,,,,,,SZAKASZ HOSSZA,INDULÁS,ÉRKEZÉS,SZAKASZ NÉV,FUTÓ,KERÉKPÁROS,TEMPÓ,FUTÁSIDŐ,VÁLTÓPONTHOZ ÉRKEZÉS IDEJE,Napszak,Info
,,,,,,44,"4,5",Siófok kelet,Siófok-Sóstó,DL,Bianka,Lajek,6:00,0:27:00,5:25:48,🌙,"A szakasz végén Mobfeszt színpaddal és zenével várnak benneteket! A szakaszon nem mindenhol van járda, de, ahol van, ott is szűk és a burkolata nem tökéletes, figyelmet igényel!"
,,,,,,45,"3,3",Siófok-Sóstó,Balatonvilágos nyugat,,Bianka,,6:00,0:19:48,5:45:36,☀️,"A szakasz teljesen egyenes és rövid. A ponton büfé üzemel, ahol kávét és egyéb finomságokat tudtok vásárolni."
,,,,,,46,"2,2",Balatonvilágos nyugat,Balatonvilágos kelet,,Bianka,,6:00,0:13:12,5:58:48,☀️,"A szakasz első 200 méterében több szint van, mint az egész déli parton összesen 🙂 Hegy-fetisitiszták ezt a részt akár többször is megfuthatják. Az emelkedő után a szakasz a meseszép magas parton vezet. A szakasz végén lévő ponton nagy füves parkoló található."
,,,,,,47,5,Balatonvilágos kelet,Balatonakarattya,,Bianka,,6:00,0:30:00,6:28:48,☀️,"A szakasz 5 kilométeres, változatos és kanyargós, de szép panorámájú. A ponton nyitva lesz a nánásiék féle Nekem a Balaton kávézó, ahol van az épületben mosdó is."
,,,,,,48,6,Balatonakarattya,Balatonkenese,,Dóri,,6:30,0:39:00,7:07:48,☀️,"A szakasz igen gyors és többségében lejtős, de Akarattya után van benne egy rövid de kemény emelkedő is A ponton BRINGÁSOK IS FRISSÍTHETNEK! A ponton épített mosdó is van, a strandon belül."
,,,,,,49,"5,5",Balatonkenese,Balatonfűzfő,KNORR BREMSE,Dóri,,6:30,0:35:45,7:43:33,☀️,"Szimbolikus, jól futható szakasz, mely Fűzfőre tart, pont, mint a Balatonman Triatlon Fesztivál! Hazánk egyik legnépesebb és legkedveltett triatlon versenyére, szeptember 6-án várjuk a sportág szerelmeseit! A ponton épített mosdó is található!"
,,,,,,50,"3,4",Balatonfűzfő,Tobruk ,MANNA ABC,Dóri,,6:30,0:22:06,8:05:39,☀️,"A szakasz szép, jól futható szakasz, egyes részei közvetlen a Balaton partján haladnak. A ponton van épített wc és vendéglátóhely is üzemel. A pont autóval a 71 út felöl szűk utcán közelíthető meg, mely figyelmet igényel mivel ezt az utcát futók is használják!"
,,,,,,51,3,Tobruk ,Balatonalmádi kelet,KOMETA,Dóri,,6:30,0:19:30,8:25:09,☀️,Az útvonal a 71-es út mellett halad végig a bicikli úton.
,,,,,,52,3,Balatonalmádi kelet,Balatonalmádi nyugat,RAVATHERM,Dóri,,6:30,0:19:30,8:44:39,☀️,"A szakasz végén, Almádi ponton, a standon belül épített mosdó található!"
,,,,,,53,"5,9",Balatonalmádi nyugat,Alsóörs,BRAVOADVERT,Nóri,,6:30,0:38:21,9:23:00,☀️,"A szakasz közel hat kilométer hosszú, dimbes-dombos, technikás. Az Alsőörsi ponton pékség üzemel és a ponton BRINGÁSOK IS FRISSÍTHETNEK!"
